MUNICIPALITY: Commune;TIME_PERIOD: Période;OBS_VALUE
C050: Bertrange;2019;7743.178711
C060: Bettembourg;2019;4709.888184
C070: Bettendorf;2019;3962.730713
C080: Betzdorf;2019;6896.63623
C090: Bissen;2019;4632.344238
C100: Biwer;2019;5821.882324
C1000: Vichten;2019;4296.572266
C1010: Wahl;2019;4624.544922
C1020: Waldbillig;2019;5536.285156
C1030: Waldbredimus;2019;5741.955078
C1040: Walferdange;2019;6289.457031
C1050: Weiler-la-Tour;2019;7455.885742
C1060: Weiswampach;2019;4204.123535
C1070: Wiltz;2019;3386.782227
C1080: Wincrange;2019;3968.622314
C1090: Winseler;2019;4750.416504
C110: Boevange-sur-Attert;2019;
C1100: Wormeldange;2019;4943.946777
C120: Boulaide;2019;4218.095215
C130: Bourscheid;2019;4232.055176
C140: Bous;2019;5180.658203
C150: Clervaux;2019;3910.19043
C160: Colmar-Berg;2019;4413.154785
C170: Consdorf;2019;4697.229492
C180: Contern;2019;7221.547363
C190: Dalheim;2019;4828.833984
C200: Diekirch;2019;4088.674316
C210: Differdange;2019;3373.320068
C220: Dippach;2019;5706.11377
C230: Dudelange;2019;4253.840332
C240: Echternach;2019;3767.704346
C250: Ell;2019;5024.707031
C270: Erpeldange-sur-Sûre;2019;5069.862793
C280: Esch-sur-Alzette;2019;3640.095947
C290: Esch-sur-Sûre;2019;4201.308594
C300: Ettelbruck;2019;3801.08252
C310: Feulen;2019;4468.864258
C320: Fischbach;2019;5335.075195
C330: Flaxweiler;2019;5545.946777
C340: Frisange;2019;5505.09668
C350: Garnich;2019;6193.055176
C360: Goesdorf;2019;4584.13623
C370: Grevenmacher;2019;4534.947754
C380: Grosbous;2019;4235.687988
C390: Habscht;2019;5180.859863
C400: Heffingen;2019;5199.737793
C410: Helperknapp;2019;5371.758789
C420: Hesperange;2019;6780.997559
C430: Hobscheid;2019;
C440: Junglinster;2019;6251.335449
C460: Käerjeng;2019;5103.188477
C470: Kayl;2019;4058.5
C480: Kehlen;2019;6837.981445
C490: Kiischpelt;2019;4221.169922
C500: Koerich;2019;5953.439941
C510: Kopstal;2019;8931.395508
C520: Lac de la Haute-Sûre;2019;4466.797363
C530: Larochette;2019;3810.252441
C540: Lenningen;2019;5778.874023
C550: Leudelange;2019;7219.952148
C560: Lintgen;2019;4622.592285
C570: Lorentzweiler;2019;5848.620117
C580: Luxembourg;2019;7201.240234
C590: Mamer;2019;6957.189941
C600: Manternach;2019;5127.834961
C610: Mersch;2019;4686.873535
C620: Mertert;2019;4475.359863
C630: Mertzig;2019;4791.262207
C640: Mompach;2019;
C650: Mondercange;2019;5523.14209
C660: Mondorf-les-Bains;2019;4575.433594
C670: Niederanven;2019;9288.53418
C680: Nommern;2019;5142.162598
C690: Parc Hosingen;2019;4323.651367
C700: Pétange;2019;3503.777344
C710: Préizerdaul;2019;4850.537598
C720: Putscheid;2019;4522.082031
C730: Rambrouch;2019;4474.012695
C740: Reckange-sur-Mess;2019;6327.513672
C750: Redange/Attert;2019;4913.453613
C760: Reisdorf;2019;3485.24292
C770: Remich;2019;4284.755371
C780: Roeser;2019;5589.898438
C790: Rosport;2019;
C800: Rosport-Mompach;2019;4957.780762
C810: Rumelange;2019;3486.97998
C820: Saeul;2019;5226.883301
C830: Sandweiler;2019;7021.969727
C840: Sanem;2019;4483.24707
C850: Schengen;2019;5085.675293
C860: Schieren;2019;4548.431641
C870: Schifflange;2019;4008.652344
C880: Schuttrange;2019;7562.865234
C890: Septfontaines;2019;
C900: Stadtbredimus;2019;5036.640137
C910: Steinfort;2019;5350.097168
C920: Steinsel;2019;6802.766602
C930: Strassen;2019;8028.495605
C940: Tandel;2019;4267.110352
C950: Troisvierges;2019;3760.516357
C960: Tuntange;2019;
C970: Useldange;2019;4736.939941
C980: Vallée de l'Ernz;2019;4042.113281
C990: Vianden;2019;3570.965088
C010: Beaufort;2020;4026.850342
C020: Bech;2020;6086.056152
C030: Beckerich;2020;5321.45166
C040: Berdorf;2020;4852.564941
C050: Bertrange;2020;8365.760742
C060: Bettembourg;2020;5109.827148
C070: Bettendorf;2020;4186.188477
C080: Betzdorf;2020;7478.677246
C090: Bissen;2020;4986.933105
C100: Biwer;2020;6669.90918
C1000: Vichten;2020;4550.756348
C1010: Wahl;2020;5055.067871
C1020: Waldbillig;2020;5790.796875
C1030: Waldbredimus;2020;6336.069336
C1040: Walferdange;2020;6846.024414
C1050: Weiler-la-Tour;2020;7528.405273
C1060: Weiswampach;2020;4484.203613
C1070: Wiltz;2020;3683.202637
C1080: Wincrange;2020;4240.674805
C1090: Winseler;2020;5244.481445
C110: Boevange-sur-Attert;2020;
C1100: Wormeldange;2020;5382.595703
C120: Boulaide;2020;4391.595215
C130: Bourscheid;2020;4634.232422
C140: Bous;2020;5430.674805
C150: Clervaux;2020;4245.154297
C160: Colmar-Berg;2020;4633.315918
C170: Consdorf;2020;4848.137207
C180: Contern;2020;7803.903809
C190: Dalheim;2020;5339.554688
C200: Diekirch;2020;4490.531738
C210: Differdange;2020;3596.12793
C220: Dippach;2020;5989.30127
C230: Dudelange;2020;4577.879883
C240: Echternach;2020;4237.290527
C250: Ell;2020;5354.154785
C270: Erpeldange-sur-Sûre;2020;5454.131348
C280: Esch-sur-Alzette;2020;3976.798584
C290: Esch-sur-Sûre;2020;4570.031738
C300: Ettelbruck;2020;4383.802246
C310: Feulen;2020;4788.177246
C320: Fischbach;2020;5713.405762
C330: Flaxweiler;2020;5983.021973
C340: Frisange;2020;5991.287598
C350: Garnich;2020;6798.510742
C360: Goesdorf;2020;5044.697754
C370: Grevenmacher;2020;4984.060059
C380: Grosbous;2020;4484.358887
C390: Habscht;2020;5695.654785
C400: Heffingen;2020;5874.779785
C410: Helperknapp;2020;5840.203125
C420: Hesperange;2020;7191.736816
C430: Hobscheid;2020;
C440: Junglinster;2020;6932.748535
C460: Käerjeng;2020;5462.229004
C470: Kayl;2020;4417.007324
C480: Kehlen;2020;7429.616211
C490: Kiischpelt;2020;4414.471191
C500: Koerich;2020;6436.109863
C510: Kopstal;2020;9493.630859
C520: Lac de la Haute-Sûre;2020;4830.840332
C530: Larochette;2020;4015.862793
C540: Lenningen;2020;6370.044434
C550: Leudelange;2020;8262.144531
C560: Lintgen;2020;5252.969727
C570: Lorentzweiler;2020;6188.213867
C580: Luxembourg;2020;7800.301758
C590: Mamer;2020;7616.164063
C600: Manternach;2020;5391.284668
C610: Mersch;2020;5132.111328
C620: Mertert;2020;4951.287598
C630: Mertzig;2020;5008.439941
C640: Mompach;2020;
C650: Mondercange;2020;6006.395508
C660: Mondorf-les-Bains;2020;5196.666504
C670: Niederanven;2020;10287.08984
C680: Nommern;2020;5653.354492
C690: Parc Hosingen;2020;4617.534668
C700: Pétange;2020;3668.163086
C710: Préizerdaul;2020;4940.463379
C720: Putscheid;2020;5301.589844
C730: Rambrouch;2020;4762.308594
C740: Reckange-sur-Mess;2020;6850.198242
C750: Redange/Attert;2020;5154.09668
C760: Reisdorf;2020;3747.004883
C770: Remich;2020;4770.272461
C780: Roeser;2020;6096.844727
C790: Rosport;2020;
C800: Rosport-Mompach;2020;5220.384766
C810: Rumelange;2020;3764.251221
C820: Saeul;2020;5667.672363
C830: Sandweiler;2020;7560.964844
C840: Sanem;2020;4788.433105
C850: Schengen;2020;5393.812988
C860: Schieren;2020;4772.293457
C870: Schifflange;2020;4262.130371
C880: Schuttrange;2020;8696.581055
C890: Septfontaines;2020;
C900: Stadtbredimus;2020;5479.907715
C910: Steinfort;2020;5815.874512
C920: Steinsel;2020;7485.991211
C930: Strassen;2020;8799.290039
C940: Tandel;2020;4593.693848
C950: Troisvierges;2020;4126.553223
C960: Tuntange;2020;
C970: Useldange;2020;5012.38623
C980: Vallée de l'Ernz;2020;4375.967285
C990: Vianden;2020;3983.363525
C010: Beaufort;2021;4210.379395
C020: Bech;2021;6194.453613
C030: Beckerich;2021;5257.531738
C040: Berdorf;2021;4770.911621
C050: Bertrange;2021;8300.25
C060: Bettembourg;2021;5344.27832
C070: Bettendorf;2021;4297.57373
C080: Betzdorf;2021;7561.499023
C090: Bissen;2021;5097.115723
C100: Biwer;2021;6690.772461
C1000: Vichten;2021;4776.456055
C1010: Wahl;2021;5249.526855
C1020: Waldbillig;2021;6004.461426
C1030: Waldbredimus;2021;5978.890625
C1040: Walferdange;2021;6856.564453
C1050: Weiler-la-Tour;2021;7209.717285
C1060: Weiswampach;2021;4669.162109
C1070: Wiltz;2021;3871.353027
C1080: Wincrange;2021;4443.1875
C1090: Winseler;2021;5374.144531
C110: Boevange-sur-Attert;2021;
C1100: Wormeldange;2021;5589.50293
C120: Boulaide;2021;4495.527832
C130: Bourscheid;2021;4761.296875
C140: Bous;2021;5386.972656
C150: Clervaux;2021;4292.83252
C160: Colmar-Berg;2021;4725.150879
C170: Consdorf;2021;5013.887695
C180: Contern;2021;7401.550293
C190: Dalheim;2021;5477.224121
C200: Diekirch;2021;4472.233398
C210: Differdange;2021;3734.554199
C220: Dippach;2021;6157.546875
C230: Dudelange;2021;4697.890137
C240: Echternach;2021;4283.834473
C250: Ell;2021;5462.100098
C270: Erpeldange-sur-Sûre;2021;5516.017578
C280: Esch-sur-Alzette;2021;4142.068848
C290: Esch-sur-Sûre;2021;4587.698242
C300: Ettelbruck;2021;4523.501465
C310: Feulen;2021;4858.362305
C320: Fischbach;2021;5706.474609
C330: Flaxweiler;2021;6311.517578
C340: Frisange;2021;6033.994141
C350: Garnich;2021;7257.353516
C360: Goesdorf;2021;5103.29834
C370: Grevenmacher;2021;5205.905762
C380: Grosbous;2021;4577.188965
C390: Habscht;2021;5716.579102
C400: Heffingen;2021;5958.288086
C410: Helperknapp;2021;5703.727539
C420: Hesperange;2021;7316.306641
C430: Hobscheid;2021;
C440: Junglinster;2021;7043.055664
C460: Käerjeng;2021;5479.018066
C470: Kayl;2021;4528.432617
C480: Kehlen;2021;7883.881348
C490: Kiischpelt;2021;4671.84375
C500: Koerich;2021;6754.344727
C510: Kopstal;2021;8967.373047
C520: Lac de la Haute-Sûre;2021;4981.561035
C530: Larochette;2021;4210.32959
C540: Lenningen;2021;6462.492188
C550: Leudelange;2021;8661.125977
C560: Lintgen;2021;5306.180176
C570: Lorentzweiler;2021;6165.619141
C580: Luxembourg;2021;7942.709473
C590: Mamer;2021;7891.393555
C600: Manternach;2021;5547.375977
C610: Mersch;2021;5160.078613
C620: Mertert;2021;5133.368652
C630: Mertzig;2021;5101.982422
C640: Mompach;2021;
C650: Mondercange;2021;6365.598145
C660: Mondorf-les-Bains;2021;5273.726563
C670: Niederanven;2021;10524.82617
C680: Nommern;2021;5719.672363
C690: Parc Hosingen;2021;4583.330078
C700: Pétange;2021;3855.642822
C710: Préizerdaul;2021;5107.143555
C720: Putscheid;2021;4788.784668
C730: Rambrouch;2021;4986.424316
C740: Reckange-sur-Mess;2021;7058.024902
C750: Redange/Attert;2021;5132.76709
C760: Reisdorf;2021;3866.851563
C770: Remich;2021;4987.021484
C780: Roeser;2021;6341.126465
C790: Rosport;2021;
C800: Rosport-Mompach;2021;5320.390137
C810: Rumelange;2021;3865.52124
C820: Saeul;2021;5771.617188
C830: Sandweiler;2021;7825.524902
C840: Sanem;2021;4929.553223
C850: Schengen;2021;5448.723145
C860: Schieren;2021;5080.523438
C870: Schifflange;2021;4332.555664
C880: Schuttrange;2021;8892.545898
C890: Septfontaines;2021;
C900: Stadtbredimus;2021;5660.737793
C910: Steinfort;2021;5841.367676
C920: Steinsel;2021;7642.779785
C930: Strassen;2021;8843.487305
C940: Tandel;2021;4666.302246
C950: Troisvierges;2021;4185.081543
C960: Tuntange;2021;
C970: Useldange;2021;5154.774414
C980: Vallée de l'Ernz;2021;4510.101563
C990: Vianden;2021;3972.539307
C010: Beaufort;2022;4494.634277
C020: Bech;2022;6693.804199
C030: Beckerich;2022;5481.849609
C040: Berdorf;2022;5066.459961
C050: Bertrange;2022;9914.022461
C060: Bettembourg;2022;5840.258789
C070: Bettendorf;2022;4647.052734
C080: Betzdorf;2022;8792.629883
C090: Bissen;2022;5510.510254
C100: Biwer;2022;7945.805664
C1000: Vichten;2022;4964.199219
C1010: Wahl;2022;5461.426758
C1020: Waldbillig;2022;6437.703125
C1030: Waldbredimus;2022;7090.853516
C1040: Walferdange;2022;7972.053223
C1050: Weiler-la-Tour;2022;8670.780273
C1060: Weiswampach;2022;4900.324707
C1070: Wiltz;2022;4071.949707
C1080: Wincrange;2022;4457.687988
C1090: Winseler;2022;5449.226563
C110: Boevange-sur-Attert;2022;
C1100: Wormeldange;2022;6300.380371
C120: Boulaide;2022;4780.094727
C130: Bourscheid;2022;5056.572266
C140: Bous;2022;6091.651367
C150: Clervaux;2022;4623.569824
C160: Colmar-Berg;2022;5274.276367
C170: Consdorf;2022;5463.472656
C180: Contern;2022;8885.621094
C190: Dalheim;2022;5739.978516
C200: Diekirch;2022;4937.005859
C210: Differdange;2022;4038.205811
C220: Dippach;2022;6899.228027
C230: Dudelange;2022;5154.550293
C240: Echternach;2022;4654.011719
C250: Ell;2022;5677.870117
C270: Erpeldange-sur-Sûre;2022;5815.481934
C280: Esch-sur-Alzette;2022;4487.775879
C290: Esch-sur-Sûre;2022;4984.137207
C300: Ettelbruck;2022;4762.449707
C310: Feulen;2022;5328.387695
C320: Fischbach;2022;6518.962891
C330: Flaxweiler;2022;6585.872559
C340: Frisange;2022;6642.361816
C350: Garnich;2022;8090.562012
C360: Goesdorf;2022;5331.867188
C370: Grevenmacher;2022;5503.670898
C380: Grosbous;2022;4861.961426
C390: Habscht;2022;6264.824219
C400: Heffingen;2022;6774.067383
C410: Helperknapp;2022;6205.144043
C420: Hesperange;2022;8619.917969
C430: Hobscheid;2022;
C440: Junglinster;2022;8086.463867
C460: Käerjeng;2022;6020.060059
C470: Kayl;2022;4894.783203
C480: Kehlen;2022;8414.462891
C490: Kiischpelt;2022;4865.013184
C500: Koerich;2022;7470.052246
C510: Kopstal;2022;11323.65234
C520: Lac de la Haute-Sûre;2022;5057.268555
C530: Larochette;2022;4510.614258
C540: Lenningen;2022;7359.105469
C550: Leudelange;2022;11765.47852
C560: Lintgen;2022;5904.532715
C570: Lorentzweiler;2022;7032.866211
C580: Luxembourg;2022;8859.669922
C590: Mamer;2022;8938.983398
C600: Manternach;2022;5778.318848
C610: Mersch;2022;5803.632813
C620: Mertert;2022;5414.787109
C630: Mertzig;2022;5481.23877
C640: Mompach;2022;
C650: Mondercange;2022;6893.715332
C660: Mondorf-les-Bains;2022;5995.921387
C670: Niederanven;2022;12644.85547
C680: Nommern;2022;5898.928711
C690: Parc Hosingen;2022;4862.895508
C700: Pétange;2022;4099.611328
C710: Préizerdaul;2022;5201.242188
C720: Putscheid;2022;4730.689453
C730: Rambrouch;2022;5255.359375
C740: Reckange-sur-Mess;2022;7558.683105
C750: Redange/Attert;2022;5579.795898
C760: Reisdorf;2022;3960.394043
C770: Remich;2022;5394.052246
C780: Roeser;2022;7279.334473
C790: Rosport;2022;
C800: Rosport-Mompach;2022;5486.047852
C810: Rumelange;2022;4112.539551
C820: Saeul;2022;6212.669434
C830: Sandweiler;2022;8973.610352
C840: Sanem;2022;5262.615234
C850: Schengen;2022;5857.728027
C860: Schieren;2022;5473.391602
C870: Schifflange;2022;4781.302246
C880: Schuttrange;2022;10628.67676
C890: Septfontaines;2022;
C900: Stadtbredimus;2022;6238.991211
C910: Steinfort;2022;6886.178223
C920: Steinsel;2022;9228.033203
C930: Strassen;2022;10267.45117
C940: Tandel;2022;5037.406738
C950: Troisvierges;2022;4432.910645
C960: Tuntange;2022;
C970: Useldange;2022;5473.186523
C980: Vallée de l'Ernz;2022;4734.780273
C990: Vianden;2022;4310.82959
C010: Beaufort;2023;4845.1708984375
C020: Bech;2023;6969.1591796875
C030: Beckerich;2023;5919.43994140625
C040: Berdorf;2023;5377.19970703125
C050: Bertrange;2023;10179.373046875
C060: Bettembourg;2023;6266.126953125
C070: Bettendorf;2023;4834.95263671875
C080: Betzdorf;2023;8815.71484375
C090: Bissen;2023;5835.4677734375
C100: Biwer;2023;8023.8671875
C1000: Vichten;2023;5438.17333984375
C1010: Wahl;2023;5992.25634765625
C1020: Waldbillig;2023;6762.7734375
C1030: Waldbredimus;2023;7803.81884765625
C1040: Walferdange;2023;8713.6640625
C1050: Weiler-la-Tour;2023;9876.9248046875
C1060: Weiswampach;2023;5523.126953125
C1070: Wiltz;2023;4384.732421875
C1080: Wincrange;2023;4860.1923828125
C1090: Winseler;2023;6100.67333984375
C110: Boevange-sur-Attert;2023;
C1100: Wormeldange;2023;6814.83837890625
C120: Boulaide;2023;5129.7216796875
C130: Bourscheid;2023;5365.4736328125
C140: Bous;2023;6814.28076171875
C150: Clervaux;2023;4875.2275390625
C160: Colmar-Berg;2023;5610.9892578125
C170: Consdorf;2023;5766.47509765625
C180: Contern;2023;9907.4716796875
C190: Dalheim;2023;6228.54931640625
C200: Diekirch;2023;5056.34130859375
C210: Differdange;2023;4366.81787109375
C220: Dippach;2023;7353.24365234375
C230: Dudelange;2023;5513.833984375
C240: Echternach;2023;4907.3603515625
C250: Ell;2023;6030.71630859375
C270: Erpeldange-sur-Sûre;2023;6099.154296875
C280: Esch-sur-Alzette;2023;4812.40966796875
C290: Esch-sur-Sûre;2023;5344.86181640625
C300: Ettelbruck;2023;5112.2548828125
C310: Feulen;2023;5542.08447265625
C320: Fischbach;2023;6974.25
C330: Flaxweiler;2023;7039.625
C340: Frisange;2023;7144.1640625
C350: Garnich;2023;9093.541015625
C360: Goesdorf;2023;5815.24365234375
C370: Grevenmacher;2023;5969.4775390625
C380: Grosbous;2023;5171.2041015625
C390: Habscht;2023;6730.81640625
C400: Heffingen;2023;7433.720703125
C410: Helperknapp;2023;6550.4501953125
C420: Hesperange;2023;9089.34375
C430: Hobscheid;2023;
C440: Junglinster;2023;9011.642578125
C460: Käerjeng;2023;6354.66259765625
C470: Kayl;2023;5240.9267578125
C480: Kehlen;2023;9074.6416015625
C490: Kiischpelt;2023;5156.78955078125
C500: Koerich;2023;8049.572265625
C510: Kopstal;2023;11457.8896484375
C520: Lac de la Haute-Sûre;2023;5459.47021484375
C530: Larochette;2023;4781.525390625
C540: Lenningen;2023;7944.55517578125
C550: Leudelange;2023;12518.3310546875
C560: Lintgen;2023;6663.63330078125
C570: Lorentzweiler;2023;7838.09765625
C580: Luxembourg;2023;9399.1123046875
C590: Mamer;2023;9598.2109375
C600: Manternach;2023;6389.54736328125
C610: Mersch;2023;6399.58544921875
C620: Mertert;2023;5891.26513671875
C630: Mertzig;2023;5921.48681640625
C640: Mompach;2023;
C650: Mondercange;2023;7515.92626953125
C660: Mondorf-les-Bains;2023;6207.77783203125
C670: Niederanven;2023;12928.693359375
C680: Nommern;2023;6637.6162109375
C690: Parc Hosingen;2023;5161.66796875
C700: Pétange;2023;4371.68798828125
C710: Préizerdaul;2023;5407.828125
C720: Putscheid;2023;5038.40234375
C730: Rambrouch;2023;5522.5625
C740: Reckange-sur-Mess;2023;8001.794921875
C750: Redange/Attert;2023;5879.37158203125
C760: Reisdorf;2023;4202.1123046875
C770: Remich;2023;5664.39892578125
C780: Roeser;2023;8047.09033203125
C790: Rosport;2023;
C800: Rosport-Mompach;2023;5896.82275390625
C810: Rumelange;2023;4425.53466796875
C820: Saeul;2023;6458.06494140625
C830: Sandweiler;2023;9876.5146484375
C840: Sanem;2023;5773.0458984375
C850: Schengen;2023;6167.48876953125
C860: Schieren;2023;5881.0009765625
C870: Schifflange;2023;5138.06591796875
C880: Schuttrange;2023;10811.0087890625
C890: Septfontaines;2023;
C900: Stadtbredimus;2023;6893.59912109375
C910: Steinfort;2023;7148.2734375
C920: Steinsel;2023;9524.259765625
C930: Strassen;2023;10628.8662109375
C940: Tandel;2023;5257.3232421875
C950: Troisvierges;2023;4723.3095703125
C960: Tuntange;2023;
C970: Useldange;2023;6096.0703125
C980: Vallée de l'Ernz;2023;5105.6328125
C990: Vianden;2023;4463.63916015625
